player,season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,PTS,salary,inflationAdjSalary
Adrian Dantley,1990,SF,34.0,DAL,45.0,45.0,1300.0,231.0,484.0,0.4772727272727273,200.0,254.0,0.7874015748031497,662.0,400000.0,912428.0
Brad Daugherty,1990,C,24.0,CLE,41.0,40.0,1438.0,244.0,509.0,0.4793713163064833,202.0,287.0,0.7038327526132404,690.0,1320000.0,3011012.0
Brad Davis,1990,PG,34.0,DAL,73.0,2.0,1292.0,179.0,365.0,0.4904109589041096,77.0,100.0,0.77,470.0,600000.0,1368642.0
Terry Davis,1990,PF,22.0,MIA,63.0,9.0,884.0,122.0,262.0,0.46564885496183206,54.0,87.0,0.6206896551724138,298.0,250000.0,570267.0
Walter Davis,1990,SG,35.0,DEN,69.0,0.0,1635.0,497.0,1033.0,0.48112294288480156,207.0,227.0,0.9118942731277533,1207.0,900000.0,2052963.0
Johnny Dawkins,1990,PG,26.0,PHI,81.0,81.0,2865.0,465.0,950.0,0.48947368421052634,210.0,244.0,0.860655737704918,1162.0,1500000.0,3421605.0
Vlade Divac,1990,C,21.0,LAL,82.0,5.0,1611.0,274.0,549.0,0.4990892531876138,153.0,216.0,0.7083333333333334,701.0,770000.0,1756423.0
James Donaldson,1990,C,32.0,DAL,73.0,73.0,2265.0,258.0,479.0,0.5386221294363257,149.0,213.0,0.6995305164319249,665.0,880000.0,2007341.0
Sherman Douglas,1990,PG,23.0,MIA,81.0,66.0,2470.0,463.0,938.0,0.4936034115138593,224.0,326.0,0.6871165644171779,1155.0,325000.0,741347.0
Greg Dreiling,1990,C,27.0,IND,49.0,0.0,307.0,20.0,53.0,0.37735849056603776,25.0,34.0,0.7352941176470589,65.0,300000.0,684321.0
Larry Drew,1990,PG,31.0,LAL,80.0,3.0,1333.0,170.0,383.0,0.44386422976501305,46.0,60.0,0.7666666666666667,418.0,550000.0,1254588.0
Clyde Drexler,1990,SG,27.0,POR,73.0,73.0,2683.0,670.0,1357.0,0.4937361827560796,333.0,430.0,0.7744186046511627,1703.0,1180000.0,2691662.0
Kevin Duckworth,1990,C,25.0,POR,82.0,82.0,2462.0,548.0,1146.0,0.4781849912739965,231.0,312.0,0.7403846153846154,1327.0,1710000.0,3900629.0
Chris Dudley,1990,PF,24.0,TOT,64.0,30.0,1356.0,146.0,355.0,0.4112676056338028,58.0,182.0,0.31868131868131866,350.0,950000.0,2167016.0
Chris Dudley,1990,PF,24.0,CLE,37.0,22.0,684.0,79.0,203.0,0.3891625615763547,26.0,77.0,0.33766233766233766,184.0,950000.0,2167016.0
Chris Dudley,1990,PF,24.0,NJN,27.0,8.0,672.0,67.0,152.0,0.4407894736842105,32.0,105.0,0.3047619047619048,166.0,950000.0,2167016.0
Joe Dumars,1990,SG,26.0,DET,75.0,71.0,2578.0,508.0,1058.0,0.48015122873345933,297.0,330.0,0.9,1335.0,1035000.0,2360907.0
Ledell Eackles,1990,SG,23.0,WSB,78.0,8.0,1696.0,413.0,940.0,0.43936170212765957,210.0,280.0,0.75,1055.0,605000.0,1380047.0
Mark Eaton,1990,C,33.0,UTA,82.0,82.0,2281.0,158.0,300.0,0.5266666666666666,79.0,118.0,0.6694915254237288,395.0,2000000.0,4562140.0
Blue Edwards,1990,SF,24.0,UTA,82.0,49.0,1889.0,286.0,564.0,0.5070921985815603,146.0,203.0,0.7192118226600985,727.0,360000.0,821185.0
James Edwards,1990,C,34.0,DET,82.0,70.0,2283.0,462.0,928.0,0.4978448275862069,265.0,354.0,0.748587570621469,1189.0,935000.0,2132800.0
Kevin Edwards,1990,SG,24.0,MIA,78.0,54.0,2211.0,395.0,959.0,0.4118873826903024,139.0,183.0,0.7595628415300546,938.0,425000.0,969454.0
Craig Ehlo,1990,SG,28.0,CLE,81.0,64.0,2894.0,436.0,940.0,0.46382978723404256,126.0,185.0,0.6810810810810811,1102.0,925000.0,2109989.0
Sean Elliott,1990,SF,21.0,SAS,81.0,69.0,2032.0,311.0,647.0,0.4806800618238022,187.0,216.0,0.8657407407407407,810.0,1800000.0,4105926.0
Dale Ellis,1990,SG,29.0,SEA,55.0,49.0,2033.0,502.0,1011.0,0.49653808110781406,193.0,236.0,0.8177966101694916,1293.0,1250000.0,2851337.0
Pervis Ellison,1990,C,22.0,SAC,34.0,22.0,866.0,111.0,251.0,0.44223107569721115,49.0,78.0,0.6282051282051282,271.0,2300000.0,5246461.0
Alex English,1990,SF,36.0,DEN,80.0,80.0,2211.0,635.0,1293.0,0.4911059551430781,161.0,183.0,0.8797814207650273,1433.0,1500000.0,3421605.0
Patrick Ewing,1990,C,27.0,NYK,82.0,82.0,3165.0,922.0,1673.0,0.5511057979677226,502.0,648.0,0.7746913580246914,2347.0,4250000.0,9694547.0
Duane Ferrell,1990,SF,24.0,ATL,14.0,0.0,29.0,5.0,14.0,0.35714285714285715,2.0,6.0,0.3333333333333333,12.0,125000.0,285133.0
Vern Fleming,1990,PG,27.0,IND,82.0,82.0,2876.0,467.0,919.0,0.5081610446137106,230.0,294.0,0.782312925170068,1176.0,667000.0,1521473.0
Sleepy Floyd,1990,PG,29.0,HOU,82.0,73.0,2630.0,362.0,803.0,0.45080946450809467,187.0,232.0,0.8060344827586207,1000.0,1400000.0,3193498.0
Kevin Gamble,1990,SF,24.0,BOS,71.0,10.0,990.0,137.0,301.0,0.45514950166112955,85.0,107.0,0.794392523364486,362.0,375000.0,855401.0
Winston Garland,1990,PG,25.0,TOT,79.0,19.0,1762.0,230.0,573.0,0.4013961605584642,102.0,122.0,0.8360655737704918,574.0,450000.0,1026481.0
Winston Garland,1990,PG,25.0,GSW,51.0,4.0,891.0,108.0,288.0,0.375,53.0,63.0,0.8412698412698413,270.0,450000.0,1026481.0
Winston Garland,1990,PG,25.0,LAC,28.0,15.0,871.0,122.0,285.0,0.4280701754385965,49.0,59.0,0.8305084745762712,304.0,450000.0,1026481.0
